filename,set,label
malignant (191),train,malignant
benign (177),train,benign
benign (375),train,benign
benign (347),train,benign
benign (223),train,benign
benign (256),train,benign
benign (281),train,benign
malignant (17),train,malignant
malignant (115),train,malignant
benign (38),train,benign
malignant (19),train,malignant
benign (27),train,benign
normal (121),train,normal
malignant (133),train,malignant
malignant (64),train,malignant
benign (143),train,benign
malignant (127),train,malignant
malignant (198),train,malignant
benign (53),train,benign
normal (82),train,normal
normal (36),train,normal
normal (87),train,normal
benign (19),train,benign
benign (103),train,benign
benign (295),train,benign
normal (91),train,normal
benign (300),train,benign
malignant (162),train,malignant
malignant (205),train,malignant
malignant (16),train,malignant
normal (104),train,normal
benign (96),train,benign
benign (382),train,benign
malignant (40),train,malignant
normal (21),train,normal
benign (369),train,benign
malignant (152),train,malignant
malignant (33),train,malignant
benign (188),train,benign
benign (273),train,benign
malignant (90),train,malignant
malignant (83),train,malignant
malignant (63),train,malignant
benign (83),train,benign
benign (422),train,benign
malignant (10),train,malignant
malignant (109),train,malignant
benign (200),train,benign
benign (339),train,benign
malignant (110),train,malignant
normal (35),train,normal
benign (9),train,benign
benign (65),train,benign
benign (150),train,benign
benign (90),train,benign
benign (117),train,benign
normal (42),train,normal
benign (47),train,benign
malignant (59),train,malignant
benign (211),train,benign
malignant (113),train,malignant
malignant (31),train,malignant
benign (178),train,benign
benign (217),train,benign
benign (239),train,benign
benign (160),train,benign
malignant (119),train,malignant
benign (18),train,benign
benign (419),train,benign
benign (393),train,benign
benign (142),train,benign
benign (56),train,benign
malignant (81),train,malignant
malignant (57),train,malignant
malignant (173),train,malignant
benign (81),train,benign
benign (32),train,benign
normal (128),train,normal
benign (263),train,benign
malignant (157),train,malignant
benign (141),train,benign
benign (152),train,benign
malignant (9),train,malignant
malignant (11),train,malignant
normal (52),train,normal
benign (46),train,benign
normal (3),train,normal
normal (81),train,normal
benign (42),train,benign
benign (251),train,benign
benign (309),train,benign
malignant (163),train,malignant
normal (85),train,normal
benign (222),train,benign
benign (265),train,benign
malignant (178),train,malignant
malignant (24),train,malignant
normal (90),train,normal
normal (13),train,normal
benign (124),train,benign
normal (71),train,normal
benign (308),train,benign
normal (5),train,normal
normal (115),train,normal
benign (161),train,benign
benign (325),train,benign
normal (78),train,normal
benign (185),train,benign
benign (112),train,benign
malignant (78),train,malignant
malignant (47),train,malignant
benign (169),train,benign
benign (71),train,benign
normal (61),train,normal
benign (253),train,benign
normal (34),train,normal
benign (246),train,benign
malignant (129),train,malignant
normal (43),train,normal
malignant (89),train,malignant
malignant (134),train,malignant
benign (157),train,benign
normal (110),train,normal
malignant (165),train,malignant
benign (262),train,benign
normal (130),train,normal
malignant (60),train,malignant
benign (363),train,benign
malignant (36),train,malignant
benign (14),train,benign
benign (385),train,benign
benign (357),train,benign
malignant (86),train,malignant
benign (317),train,benign
benign (50),train,benign
malignant (53),train,malignant
benign (40),train,benign
benign (340),train,benign
benign (397),train,benign
benign (285),train,benign
normal (8),train,normal
benign (426),train,benign
normal (51),train,normal
benign (261),train,benign
normal (108),train,normal
benign (433),train,benign
malignant (107),train,malignant
benign (190),train,benign
malignant (65),train,malignant
benign (374),train,benign
benign (391),train,benign
benign (334),train,benign
malignant (147),train,malignant
benign (298),train,benign
malignant (187),train,malignant
benign (105),train,benign
malignant (45),train,malignant
benign (410),train,benign
normal (19),train,normal
normal (66),train,normal
benign (336),train,benign
benign (6),train,benign
benign (356),train,benign
benign (361),train,benign
benign (337),train,benign
benign (31),train,benign
benign (400),train,benign
benign (101),train,benign
benign (396),train,benign
benign (267),train,benign
benign (64),train,benign
malignant (74),train,malignant
malignant (182),train,malignant
benign (231),train,benign
malignant (39),train,malignant
normal (131),train,normal
malignant (181),train,malignant
malignant (177),train,malignant
normal (95),train,normal
benign (159),train,benign
malignant (44),train,malignant
benign (84),train,benign
benign (51),train,benign
normal (129),train,normal
malignant (62),train,malignant
benign (291),train,benign
normal (10),train,normal
normal (120),train,normal
benign (48),train,benign
malignant (154),train,malignant
normal (55),train,normal
malignant (208),train,malignant
malignant (46),train,malignant
benign (241),train,benign
benign (8),train,benign
benign (255),train,benign
benign (355),train,benign
malignant (29),train,malignant
benign (149),train,benign
benign (49),train,benign
malignant (117),train,malignant
benign (381),train,benign
normal (109),train,normal
benign (13),train,benign
malignant (75),train,malignant
normal (133),train,normal
normal (94),train,normal
benign (294),train,benign
malignant (43),train,malignant
benign (401),train,benign
normal (1),train,normal
normal (28),train,normal
normal (119),train,normal
benign (109),train,benign
benign (275),train,benign
benign (242),train,benign
malignant (118),train,malignant
malignant (183),train,malignant
benign (372),train,benign
normal (65),train,normal
benign (289),train,benign
malignant (106),train,malignant
benign (130),train,benign
benign (86),train,benign
benign (107),train,benign
benign (218),train,benign
benign (206),train,benign
normal (30),train,normal
normal (103),train,normal
benign (148),train,benign
benign (1),train,benign
benign (229),train,benign
normal (67),train,normal
malignant (42),train,malignant
normal (107),train,normal
normal (96),train,normal
normal (2),train,normal
benign (230),train,benign
benign (33),train,benign
malignant (135),train,malignant
benign (304),train,benign
benign (288),train,benign
benign (10),train,benign
benign (102),train,benign
malignant (15),train,malignant
benign (55),train,benign
benign (215),train,benign
benign (238),train,benign
malignant (93),train,malignant
benign (139),train,benign
benign (247),train,benign
benign (324),train,benign
malignant (1),train,malignant
benign (108),train,benign
benign (315),train,benign
benign (2),train,benign
malignant (138),train,malignant
normal (48),train,normal
benign (198),train,benign
benign (202),train,benign
benign (305),train,benign
malignant (105),train,malignant
benign (264),train,benign
normal (105),train,normal
benign (221),train,benign
benign (216),train,benign
benign (170),train,benign
benign (136),train,benign
benign (293),train,benign
benign (306),train,benign
benign (392),train,benign
benign (362),train,benign
benign (94),train,benign
benign (436),train,benign
benign (199),train,benign
benign (403),train,benign
benign (97),train,benign
malignant (139),train,malignant
malignant (206),train,malignant
benign (352),train,benign
benign (427),train,benign
benign (187),train,benign
benign (80),train,benign
benign (365),train,benign
benign (180),train,benign
benign (388),train,benign
normal (114),train,normal
benign (95),train,benign
normal (72),train,normal
normal (97),train,normal
benign (402),train,benign
normal (16),train,normal
